ticker,interval,reason,run_time
INFOSYS,1m,no data / delisted,2026-03-28 05:50:32
TATAMOTORS,1m,no data / delisted,2026-03-28 05:50:32
ZOMATO,1m,no data / delisted,2026-03-28 05:50:32
INFOSYS,5m,no data / delisted,2026-03-28 05:50:32
TATAMOTORS,5m,no data / delisted,2026-03-28 05:50:32
ZOMATO,5m,no data / delisted,2026-03-28 05:50:32
INFOSYS,1h,no data / delisted,2026-03-28 05:50:32
TATAMOTORS,1h,no data / delisted,2026-03-28 05:50:32
ZOMATO,1h,no data / delisted,2026-03-28 05:50:32
INFOSYS,1m,no data,2026-03-28 06:25:47
TATAMOTORS,1m,no data,2026-03-28 06:25:47
ZOMATO,1m,no data,2026-03-28 06:25:47
INFOSYS,5m,no data,2026-03-28 06:25:47
TATAMOTORS,5m,no data,2026-03-28 06:25:47
ZOMATO,5m,no data,2026-03-28 06:25:47
INFOSYS,1h,no data,2026-03-28 06:25:47
TATAMOTORS,1h,no data,2026-03-28 06:25:47
ZOMATO,1h,no data,2026-03-28 06:25:47
INFOSYS,1m,no data,2026-03-28 06:39:42
TATAMOTORS,1m,no data,2026-03-28 06:39:42
ZOMATO,1m,no data,2026-03-28 06:39:42
INFOSYS,5m,no data,2026-03-28 06:39:42
TATAMOTORS,5m,no data,2026-03-28 06:39:42
ZOMATO,5m,no data,2026-03-28 06:39:42
INFOSYS,1h,no data,2026-03-28 06:39:42
TATAMOTORS,1h,no data,2026-03-28 06:39:42
ZOMATO,1h,no data,2026-03-28 06:39:42
INFOSYS,1m,no data,2026-03-30 20:03:12
TATAMOTORS,1m,no data,2026-03-30 20:03:12
ZOMATO,1m,no data,2026-03-30 20:03:12
INFOSYS,5m,no data,2026-03-30 20:03:12
TATAMOTORS,5m,no data,2026-03-30 20:03:12
ZOMATO,5m,no data,2026-03-30 20:03:12
INFOSYS,1h,no data,2026-03-30 20:03:12
TATAMOTORS,1h,no data,2026-03-30 20:03:12
ZOMATO,1h,no data,2026-03-30 20:03:12
INFOSYS,1m,no data,2026-03-31 20:01:07
TATAMOTORS,1m,no data,2026-03-31 20:01:07
ZOMATO,1m,no data,2026-03-31 20:01:07
INFOSYS,5m,no data,2026-03-31 20:01:07
TATAMOTORS,5m,no data,2026-03-31 20:01:07
ZOMATO,5m,no data,2026-03-31 20:01:07
INFOSYS,1h,no data,2026-03-31 20:01:07
TATAMOTORS,1h,no data,2026-03-31 20:01:07
ZOMATO,1h,no data,2026-03-31 20:01:07
